"","State","County","Flyway","Flock type","Species","Avian influenza subtype*","Confirmation date","Flock size"
"93","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","40,600"
"94","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","37,300"
"95","Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","47,200"
"96","Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","57,200"
"97","Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","182,400"
"98","Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","46,200"
"99","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","42,600"
"100","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","12,900"
"101","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","30,400"
"102","Iowa","Madison","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 4, 2015","1,495,600"
"103","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","pending"
"104","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","7,400"
"105","Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","44,700"
"106","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","20,500"
"107","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","14,800"
"108","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 1, 2015","165,200"
"109","Iowa","Pocahontas","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","16,700"
"110","Minnesota","Otter Tail","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","36,400"
"111","Iowa","Kossuth","Mississippi","Commercial","Layer Breeder Chickens","EA/AM-H5N2","May 1, 2015","18,800"
"112","Iowa","Clay","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 1, 2015","93,000"
"113","Iowa","Buena Vista","Mississippi","Commercial","Layer chickens","EA/AM-H5N2","May 1, 2015","4,910,600"
"114","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","29,600"
"115","Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 30, 2015","25,700"
"116","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 30, 2015","11,200"
"117","Iowa","Buena Vista","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 30, 2015","449,100"
"118","Iowa","Buena Vista","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 30, 2015","40,800"
"119","Wisconsin","Barron","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 30, 2015","96,500"
"120","Minnesota","Stearns","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 29, 2015","202,500"
"121","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 29, 2015","13,200"
"122","Iowa","Buena Vista","Misssissippi","Commercial","Turkeys","EA/AM-H5N2","Apr 29, 2015","36,400"
"123","Minnesota","Swift","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","18,000"
"124","Minnesota","Steele","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","82,900"
"125","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 28, 2015","19,100"
"126","Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","45,100"
"127","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 28, 2015","3,660,000"
"128","Iowa","Osceola","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","Apr 28, 2015","258,000"
"129","Iowa","O'Brien","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 28, 2015","98,000"
"130","Iowa","O'Brien","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 28, 2015","36,800"
"131","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","8,400"
"132","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","50,900"
"133","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","4,200"
"134","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 28, 2015","32,100"
"135","Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 27, 2015","26,900"
"136","Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 27, 2015","1,603,900"
"137","Wisconsin","Barron","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 27, 2015","83,300"
"138","Iowa","Sac","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 24, 2015","33,900"
"139","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 24, 2015","40,200"
"140","North Dakota","LaMoure","Central","Commercial","Mixed Poultry","EA/AM-H5N2","Apr 24, 2015","71,500"
"141","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 24, 2015","67,000"
"142","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 24, 2015","42,900"
"143","Wisconsin","Jefferson","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 24, 2015","1,031,000"
"144","Minnesota","Chippewa","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 24, 2015","64,900"
"145","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 23, 2015","54,300"
"146","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 23, 2015","36,900"
"147","Minnesota","Clay","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 23, 2015","408,500"
"148","Wisconsin","Chippewa","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 23, 2015","56,500"
"149","Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","72,500"
"150","Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","28,600"
"151","Minnesota","Pipestone","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","Apr 22, 2015","150"
"152","Minnesota","Otter Tail","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","34,500"
"153","Minnesota","Meeker","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","58,900"
"154","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","34,500"
"155","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","19,100"
"156","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 22, 2015","62,600"
"157","Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 21, 2015","53,900"
"158","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 21, 2015","10,700"
"159","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 21, 2015","34,100"
"160","Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","Apr 21, 2015","130,400"
