"","Date","France","Alsace","Aquitaine","Auvergne","Burgundy","Brittany","Centre","Champagne.Ardenne","Franche.Comte","Ile.de.France","Languedoc.Roussillon","Lorraine","Midi.Pyrenees","Nord.Pas.de.Calais","Normandy...Lower","Normandy...Upper","Pays.de.la.Loire","Picardie","Poitou.Charentes","Provence.Alpes.Cote.dAzur.Rhône.Alpes.2003.09.28.25.........19............2003.10.05.25.........20............2003.10.12.30.........21............2003.10.19.81.........65............Date.France.Alsace.Aquitaine.Auvergne.Burgundy.Brittany.Centre.Champagne.Ardenne.Franche.Comte.Ile.de.France.Languedoc.Roussillon.Lorraine.Midi.Pyrenees.Nord.Pas.de.Calais.Normandy...Lower.Normandy...Upper.Pays.de.la.Loire.Picardie.Poitou.Charentes.Provence.Alpes.Cote.dAzur","Rhône.Alpes"
"91","2005-07-24",10,21,5,NA,NA,10,26,14,NA,5,9,4,4,89,8,NA,7,NA,9,7,23
"92","2005-07-31",9,18,6,NA,NA,10,30,11,NA,5,9,3,5,62,8,NA,8,NA,8,10,23
"93","2005-08-07",10,17,7,NA,NA,8,35,11,NA,7,9,4,5,42,8,NA,10,NA,6,11,22
"94","2005-08-14",11,17,9,NA,NA,8,40,10,NA,5,10,3,5,43,8,NA,13,NA,7,10,20
"95","2005-08-21",9,18,11,NA,NA,8,38,10,NA,6,11,3,6,44,7,NA,22,NA,6,7,15
"96","2005-08-28",9,19,9,NA,5,12,33,10,NA,6,11,3,6,45,7,NA,19,NA,5,8,18
"97","2005-09-04",13,21,9,NA,5,10,36,10,NA,7,12,3,4,47,7,NA,14,NA,5,7,29
"98","2005-09-11",17,30,9,NA,6,8,40,10,NA,8,13,3,6,79,7,NA,14,NA,5,9,54
"99","2005-09-18",43,50,9,NA,7,16,41,9,NA,23,14,6,6,131,8,NA,13,NA,5,41,129
"100","2005-09-25",50,74,9,8,8,24,46,9,NA,29,17,10,10,118,7,NA,20,NA,6,36,145
"101","2005-10-02",76,90,25,8,22,30,50,10,NA,49,26,29,17,104,8,NA,39,NA,7,36,216
"102","2005-10-09",75,115,44,14,39,31,58,11,NA,49,52,29,29,114,13,NA,38,NA,10,72,131
"103","2005-10-16",83,128,53,16,49,45,59,24,NA,62,60,35,33,153,19,NA,27,NA,25,51,105
"104","2005-10-23",61,109,37,17,75,36,60,24,NA,39,72,36,30,105,29,NA,31,NA,29,31,101
"105","2005-10-30",42,74,29,20,94,27,62,24,NA,26,65,46,27,88,24,NA,22,NA,31,31,66
"106","2005-11-06",64,62,28,25,147,35,57,45,NA,37,55,56,40,118,27,NA,17,NA,42,45,98
"107","2005-11-13",72,72,38,24,132,51,52,49,NA,39,62,44,48,152,28,NA,26,NA,42,38,111
"108","2005-11-20",89,82,44,25,142,60,50,53,NA,53,61,47,63,147,29,NA,46,NA,38,56,132
"109","2005-11-27",83,103,50,23,105,46,43,70,NA,59,58,49,46,116,28,NA,40,NA,36,35,62
"110","2005-12-04",85,107,58,28,125,50,36,98,NA,53,55,68,37,86,29,NA,53,NA,35,54,88
"111","2005-12-11",98,114,62,32,116,56,35,105,NA,60,65,74,88,101,35,NA,53,NA,39,60,144
"112","2005-12-18",120,138,67,39,111,72,36,120,NA,71,98,60,60,208,42,NA,54,NA,35,73,199
"113","2005-12-25",120,103,73,50,74,81,37,95,NA,70,128,61,62,138,40,NA,59,NA,42,109,186
"114","2006-01-01",127,139,68,62,91,114,35,91,NA,72,140,67,105,145,45,NA,71,NA,47,58,171
"115","2006-01-08",106,195,50,81,99,130,35,80,NA,62,102,81,44,157,45,NA,101,NA,39,88,148
"116","2006-01-15",96,146,63,69,89,83,36,64,NA,57,73,59,37,111,42,NA,83,NA,31,42,188
"117","2006-01-22",131,132,71,62,70,78,45,62,NA,90,73,57,48,143,39,NA,69,NA,32,80,205
"118","2006-01-29",242,275,101,68,82,209,51,72,NA,157,92,92,62,265,56,NA,136,NA,31,130,314
"119","2006-02-05",262,270,108,138,102,247,58,96,NA,158,119,131,118,274,121,NA,150,NA,75,104,341
"120","2006-02-12",221,157,100,121,109,250,79,156,NA,121,127,107,68,251,186,NA,161,NA,101,161,412
"121","2006-02-19",172,125,105,83,77,203,84,178,NA,109,98,86,60,150,149,NA,85,NA,98,110,391
"122","2006-02-26",117,151,80,72,64,140,79,120,NA,70,81,69,46,106,113,NA,72,NA,72,73,211
